,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
117,3,4096,2048,512,0.75,2,0 days 00:00:00.044472,0 days 00:00:52.332579,83.2,85.0,43
118,3,4096,2048,512,0.75,3,0 days 00:00:00.044472,0 days 00:01:57.947428,92.6,93.4,78
119,3,4096,2048,512,0.75,5,0 days 00:00:00.044472,0 days 00:01:47.804822,93.2,94.0,78
120,3,4096,2048,1024,0.5,2,0 days 00:00:00.041514,0 days 00:01:25.934945,88.6,90.0,60
121,3,4096,2048,1024,0.5,3,0 days 00:00:00.041514,0 days 00:02:36.023234,94.8,95.6,78
122,3,4096,2048,1024,0.5,5,0 days 00:00:00.041514,0 days 00:01:36.422109,94.4,95.2,65
123,3,4096,2048,1536,0.25,2,0 days 00:00:00.038807,0 days 00:02:24.963536,93.4,93.8,80
124,3,4096,2048,1536,0.25,3,0 days 00:00:00.038807,0 days 00:02:02.027749,95.6,95.6,76
125,3,4096,2048,1536,0.25,5,0 days 00:00:00.038807,0 days 00:01:37.805669,93.4,94.0,69
126,3,4096,4096,1024,0.75,2,0 days 00:00:00.040618,0 days 00:00:44.085136,84.8,85.8,37
127,3,4096,4096,1024,0.75,3,0 days 00:00:00.040618,0 days 00:02:25.385410,94.6,94.8,78
128,3,4096,4096,1024,0.75,5,0 days 00:00:00.040618,0 days 00:01:51.052157,94.6,94.8,69
129,3,4096,4096,2048,0.5,2,0 days 00:00:00.038588,0 days 00:03:15.396181,92.6,93.0,80
130,3,4096,4096,2048,0.5,3,0 days 00:00:00.038588,0 days 00:02:21.877019,94.4,94.8,79
131,3,4096,4096,2048,0.5,5,0 days 00:00:00.038588,0 days 00:01:39.022190,94.6,95.2,63
132,3,4096,4096,3072,0.25,2,0 days 00:00:00.038485,0 days 00:01:42.554966,94.0,94.0,67
133,3,4096,4096,3072,0.25,3,0 days 00:00:00.038485,0 days 00:02:16.668226,94.2,95.0,80
134,3,4096,4096,3072,0.25,5,0 days 00:00:00.038485,0 days 00:01:36.338187,94.2,94.8,58
135,6,256,256,64,0.75,2,0 days 00:00:00.726829,0 days 00:01:06.885677,78.6,83.0,68
136,6,256,256,64,0.75,3,0 days 00:00:00.726829,0 days 00:00:53.739033,70.0,75.0,42
137,6,256,256,64,0.75,5,0 days 00:00:00.726829,0 days 00:01:05.349673,90.4,89.0,67
138,6,256,256,128,0.5,2,0 days 00:00:00.039925,0 days 00:00:42.316432,73.2,77.2,54
139,6,256,256,128,0.5,3,0 days 00:00:00.039925,0 days 00:01:45.079455,89.4,91.0,67
140,6,256,256,128,0.5,5,0 days 00:00:00.039925,0 days 00:01:02.925772,92.6,92.0,67
141,6,256,256,192,0.25,2,0 days 00:00:00.038005,0 days 00:01:31.239433,88.8,89.0,80
142,6,256,256,192,0.25,3,0 days 00:00:00.038005,0 days 00:01:26.601008,92.2,92.2,78
143,6,256,256,192,0.25,5,0 days 00:00:00.038005,0 days 00:00:57.921473,82.6,78.4,53
144,6,512,256,64,0.75,2,0 days 00:00:00.045599,0 days 00:00:11.059989,56.8,71.4,18
145,6,512,256,64,0.75,3,0 days 00:00:00.045599,0 days 00:01:24.613806,86.2,87.8,69
146,6,512,256,64,0.75,5,0 days 00:00:00.045599,0 days 00:01:02.874797,92.0,92.4,66
147,6,512,256,128,0.5,2,0 days 00:00:00.040985,0 days 00:00:17.889268,69.8,74.6,32
148,6,512,256,128,0.5,3,0 days 00:00:00.040985,0 days 00:01:21.712552,93.0,93.4,67
149,6,512,256,128,0.5,5,0 days 00:00:00.040985,0 days 00:01:06.020228,97.2,97.4,70
150,6,512,256,192,0.25,2,0 days 00:00:00.039539,0 days 00:00:15.909171,74.0,74.4,32
151,6,512,256,192,0.25,3,0 days 00:00:00.039539,0 days 00:01:35.006348,90.0,90.8,80
152,6,512,256,192,0.25,5,0 days 00:00:00.039539,0 days 00:01:12.722030,89.8,91.0,79
153,6,512,512,128,0.75,2,0 days 00:00:00.041043,0 days 00:00:23.366369,75.8,77.0,30
154,6,512,512,128,0.75,3,0 days 00:00:00.041043,0 days 00:01:26.102230,92.4,93.2,68
155,6,512,512,128,0.75,5,0 days 00:00:00.041043,0 days 00:01:09.500324,93.6,94.0,71
156,6,512,512,256,0.5,2,0 days 00:00:00.037733,0 days 00:00:34.734900,59.0,72.6,30
157,6,512,512,256,0.5,3,0 days 00:00:00.037733,0 days 00:01:34.350680,89.6,90.0,80
158,6,512,512,256,0.5,5,0 days 00:00:00.037733,0 days 00:01:30.599047,96.2,96.4,80
159,6,512,512,384,0.25,2,0 days 00:00:00.037087,0 days 00:01:15.785254,80.8,83.8,58
160,6,512,512,384,0.25,3,0 days 00:00:00.037087,0 days 00:01:37.333809,90.6,91.2,67
161,6,512,512,384,0.25,5,0 days 00:00:00.037087,0 days 00:01:33.621794,96.0,96.2,78
