,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
162,6,1024,256,64,0.75,2,0 days 00:00:00.074168,0 days 00:00:38.013676,67.2,77.2,34
163,6,1024,256,64,0.75,3,0 days 00:00:00.074168,0 days 00:00:55.216061,85.4,85.8,46
164,6,1024,256,64,0.75,5,0 days 00:00:00.074168,0 days 00:00:30.041362,81.8,84.2,28
165,6,1024,256,128,0.5,2,0 days 00:00:00.066322,0 days 00:01:05.224681,86.2,85.4,49
166,6,1024,256,128,0.5,3,0 days 00:00:00.066322,0 days 00:00:50.570989,89.2,88.6,41
167,6,1024,256,128,0.5,5,0 days 00:00:00.066322,0 days 00:00:36.443149,88.6,88.4,36
168,6,1024,256,192,0.25,2,0 days 00:00:00.064164,0 days 00:00:49.097184,72.0,81.8,45
169,6,1024,256,192,0.25,3,0 days 00:00:00.064164,0 days 00:00:47.074395,88.8,87.8,44
170,6,1024,256,192,0.25,5,0 days 00:00:00.064164,0 days 00:00:37.573537,88.0,87.6,32
171,6,1024,512,128,0.75,2,0 days 00:00:00.065468,0 days 00:00:50.387758,86.2,85.2,42
172,6,1024,512,128,0.75,3,0 days 00:00:00.065468,0 days 00:00:48.058249,88.8,88.2,52
173,6,1024,512,128,0.75,5,0 days 00:00:00.065468,0 days 00:00:29.741958,88.0,87.8,27
174,6,1024,512,256,0.5,2,0 days 00:00:00.063788,0 days 00:00:52.785058,88.0,87.4,45
175,6,1024,512,256,0.5,3,0 days 00:00:00.063788,0 days 00:00:59.469849,89.8,89.4,51
176,6,1024,512,256,0.5,5,0 days 00:00:00.063788,0 days 00:00:38.978600,89.8,89.6,39
177,6,1024,512,384,0.25,2,0 days 00:00:00.062829,0 days 00:00:43.519786,87.6,87.4,41
178,6,1024,512,384,0.25,3,0 days 00:00:00.062829,0 days 00:01:02.030731,90.0,89.2,57
179,6,1024,512,384,0.25,5,0 days 00:00:00.062829,0 days 00:00:45.155669,90.0,89.6,36
180,6,1024,1024,256,0.75,2,0 days 00:00:00.061129,0 days 00:01:02.684408,89.0,88.4,48
181,6,1024,1024,256,0.75,3,0 days 00:00:00.061129,0 days 00:00:44.883627,88.4,87.6,40
182,6,1024,1024,256,0.75,5,0 days 00:00:00.061129,0 days 00:00:35.968409,89.6,89.0,35
183,6,1024,1024,512,0.5,2,0 days 00:00:00.060881,0 days 00:00:55.200008,88.4,87.8,53
184,6,1024,1024,512,0.5,3,0 days 00:00:00.060881,0 days 00:00:56.016978,89.0,88.2,42
