,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
125,3,4096,2048,1536,0.25,5,0 days 00:00:00.038807,0 days 00:01:54.393041,96.0,96.0,71
126,3,4096,4096,1024,0.75,2,0 days 00:00:00.040618,0 days 00:02:09.413405,91.0,91.0,80
127,3,4096,4096,1024,0.75,3,0 days 00:00:00.040618,0 days 00:02:40.583929,96.0,96.0,80
128,3,4096,4096,1024,0.75,5,0 days 00:00:00.040618,0 days 00:02:05.769085,95.0,96.0,73
129,3,4096,4096,2048,0.5,2,0 days 00:00:00.038588,0 days 00:03:22.571886,95.0,96.0,80
130,3,4096,4096,2048,0.5,3,0 days 00:00:00.038588,0 days 00:03:22.660403,96.0,96.0,80
131,3,4096,4096,2048,0.5,5,0 days 00:00:00.038588,0 days 00:02:13.888189,96.0,96.0,75
132,3,4096,4096,3072,0.25,2,0 days 00:00:00.038485,0 days 00:02:02.200173,96.0,96.0,80
133,3,4096,4096,3072,0.25,3,0 days 00:00:00.038485,0 days 00:02:01.903836,97.0,97.0,80
134,3,4096,4096,3072,0.25,5,0 days 00:00:00.038485,0 days 00:01:35.758177,97.0,97.0,52
135,6,256,256,64,0.75,2,0 days 00:00:00.726829,0 days 00:02:22.730331,92.0,93.0,80
136,6,256,256,64,0.75,3,0 days 00:00:00.726829,0 days 00:02:22.875633,96.0,96.0,80
137,6,256,256,64,0.75,5,0 days 00:00:00.726829,0 days 00:01:15.470092,97.0,97.0,78
138,6,256,256,128,0.5,2,0 days 00:00:00.039925,0 days 00:01:02.704125,92.0,92.0,80
139,6,256,256,128,0.5,3,0 days 00:00:00.039925,0 days 00:01:29.949672,98.0,98.0,80
140,6,256,256,128,0.5,5,0 days 00:00:00.039925,0 days 00:01:06.421204,98.0,98.0,80
141,6,256,256,192,0.25,2,0 days 00:00:00.038005,0 days 00:02:22.521785,91.0,92.0,80
142,6,256,256,192,0.25,3,0 days 00:00:00.038005,0 days 00:01:27.740844,94.0,94.0,80
143,6,256,256,192,0.25,5,0 days 00:00:00.038005,0 days 00:02:22.528530,97.0,97.0,80
144,6,512,256,64,0.75,2,0 days 00:00:00.045599,0 days 00:00:13.100280,73.0,78.0,21
145,6,512,256,64,0.75,3,0 days 00:00:00.045599,0 days 00:01:40.811558,95.0,96.0,80
146,6,512,256,64,0.75,5,0 days 00:00:00.045599,0 days 00:01:00.465142,96.0,96.0,73
147,6,512,256,128,0.5,2,0 days 00:00:00.040985,0 days 00:00:07.867948,76.0,73.0,17
148,6,512,256,128,0.5,3,0 days 00:00:00.040985,0 days 00:01:36.660207,98.0,98.0,80
149,6,512,256,128,0.5,5,0 days 00:00:00.040985,0 days 00:01:26.011310,99.0,99.0,80
150,6,512,256,192,0.25,2,0 days 00:00:00.039539,0 days 00:00:39.014135,82.0,85.0,71
151,6,512,256,192,0.25,3,0 days 00:00:00.039539,0 days 00:01:28.938031,93.0,93.0,80
152,6,512,256,192,0.25,5,0 days 00:00:00.039539,0 days 00:01:47.321317,95.0,96.0,80
153,6,512,512,128,0.75,2,0 days 00:00:00.041043,0 days 00:01:22.794405,84.0,87.0,80
154,6,512,512,128,0.75,3,0 days 00:00:00.041043,0 days 00:02:22.532300,97.0,97.0,80
155,6,512,512,128,0.75,5,0 days 00:00:00.041043,0 days 00:01:15.036417,97.0,97.0,80
156,6,512,512,256,0.5,2,0 days 00:00:00.037733,0 days 00:02:22.535063,84.0,84.0,80
157,6,512,512,256,0.5,3,0 days 00:00:00.037733,0 days 00:01:22.515461,93.0,94.0,80
158,6,512,512,256,0.5,5,0 days 00:00:00.037733,0 days 00:01:28.983088,97.0,97.0,80
159,6,512,512,384,0.25,2,0 days 00:00:00.037087,0 days 00:02:22.522274,89.0,90.0,80
160,6,512,512,384,0.25,3,0 days 00:00:00.037087,0 days 00:02:22.522344,94.0,94.0,80
161,6,512,512,384,0.25,5,0 days 00:00:00.037087,0 days 00:01:26.031344,97.0,97.0,80
162,6,1024,256,64,0.75,2,0 days 00:00:00.052493,0 days 00:01:05.499198,88.0,89.0,80
163,6,1024,256,64,0.75,3,0 days 00:00:00.052493,0 days 00:01:28.259196,81.0,84.0,80
164,6,1024,256,64,0.75,5,0 days 00:00:00.052493,0 days 00:01:22.995309,95.0,95.0,68
165,6,1024,256,128,0.5,2,0 days 00:00:00.044414,0 days 00:01:22.545931,93.0,94.0,80
166,6,1024,256,128,0.5,3,0 days 00:00:00.044414,0 days 00:01:42.673998,97.0,97.0,80
167,6,1024,256,128,0.5,5,0 days 00:00:00.044414,0 days 00:01:38.686462,99.0,99.0,80
168,6,1024,256,192,0.25,2,0 days 00:00:00.041559,0 days 00:00:09.738106,71.0,78.0,18
169,6,1024,256,192,0.25,3,0 days 00:00:00.041559,0 days 00:02:22.544017,92.0,92.0,80
170,6,1024,256,192,0.25,5,0 days 00:00:00.041559,0 days 00:01:23.655006,95.0,96.0,80
171,6,1024,512,128,0.75,2,0 days 00:00:00.045445,0 days 00:00:12.322104,81.0,80.0,19
172,6,1024,512,128,0.75,3,0 days 00:00:00.045445,0 days 00:01:49.496152,96.0,96.0,80
173,6,1024,512,128,0.75,5,0 days 00:00:00.045445,0 days 00:02:22.544491,98.0,98.0,80
174,6,1024,512,256,0.5,2,0 days 00:00:00.040029,0 days 00:00:48.097755,86.0,87.0,80
175,6,1024,512,256,0.5,3,0 days 00:00:00.040029,0 days 00:01:22.522081,90.0,90.0,80
176,6,1024,512,256,0.5,5,0 days 00:00:00.040029,0 days 00:01:45.610118,98.0,98.0,80
177,6,1024,512,384,0.25,2,0 days 00:00:00.038564,0 days 00:01:20.321332,88.0,89.0,80
178,6,1024,512,384,0.25,3,0 days 00:00:00.038564,0 days 00:02:22.529738,95.0,95.0,80
179,6,1024,512,384,0.25,5,0 days 00:00:00.038564,0 days 00:01:43.696581,97.0,97.0,80
180,6,1024,1024,256,0.75,2,0 days 00:00:00.041118,0 days 00:01:22.538834,89.0,90.0,80
181,6,1024,1024,256,0.75,3,0 days 00:00:00.041118,0 days 00:01:10.555395,93.0,94.0,80
182,6,1024,1024,256,0.75,5,0 days 00:00:00.041118,0 days 00:01:48.617184,97.0,97.0,80
183,6,1024,1024,512,0.5,2,0 days 00:00:00.038263,0 days 00:02:22.534122,90.0,90.0,80
184,6,1024,1024,512,0.5,3,0 days 00:00:00.038263,0 days 00:01:46.645033,95.0,96.0,80
185,6,1024,1024,512,0.5,5,0 days 00:00:00.038263,0 days 00:01:31.339365,97.0,97.0,80
186,6,1024,1024,768,0.25,2,0 days 00:00:00.037717,0 days 00:01:53.385694,92.0,92.0,80
187,6,1024,1024,768,0.25,3,0 days 00:00:00.037717,0 days 00:02:22.525436,96.0,96.0,80
188,6,1024,1024,768,0.25,5,0 days 00:00:00.037717,0 days 00:02:22.541885,95.0,96.0,80
189,6,2048,256,64,0.75,2,0 days 00:00:00.072958,0 days 00:00:14.102614,80.0,80.0,30
190,6,2048,256,64,0.75,3,0 days 00:00:00.072958,0 days 00:02:22.534814,95.0,96.0,80
191,6,2048,256,64,0.75,5,0 days 00:00:00.072958,0 days 00:01:28.563591,93.0,93.0,71
192,6,2048,256,128,0.5,2,0 days 00:00:00.054116,0 days 00:01:09.762138,89.0,89.0,80
193,6,2048,256,128,0.5,3,0 days 00:00:00.054116,0 days 00:02:22.532332,97.0,97.0,80
194,6,2048,256,128,0.5,5,0 days 00:00:00.054116,0 days 00:01:29.313573,98.0,98.0,74
195,6,2048,256,192,0.25,2,0 days 00:00:00.048395,0 days 00:01:22.557513,90.0,91.0,80
196,6,2048,256,192,0.25,3,0 days 00:00:00.048395,0 days 00:03:22.542739,92.0,92.0,80
197,6,2048,256,192,0.25,5,0 days 00:00:00.048395,0 days 00:01:28.675671,94.0,94.0,80
198,6,2048,512,128,0.75,2,0 days 00:00:00.054747,0 days 00:00:11.754248,80.0,81.0,18
199,6,2048,512,128,0.75,3,0 days 00:00:00.054747,0 days 00:02:22.578011,96.0,96.0,80
200,6,2048,512,128,0.75,5,0 days 00:00:00.054747,0 days 00:01:11.230179,97.0,97.0,80
201,6,2048,512,256,0.5,2,0 days 00:00:00.044146,0 days 00:01:24.487377,89.0,90.0,80
202,6,2048,512,256,0.5,3,0 days 00:00:00.044146,0 days 00:01:22.556002,93.0,93.0,80
203,6,2048,512,256,0.5,5,0 days 00:00:00.044146,0 days 00:01:59.723384,97.0,97.0,80
204,6,2048,512,384,0.25,2,0 days 00:00:00.042835,0 days 00:01:28.972320,90.0,91.0,80
205,6,2048,512,384,0.25,3,0 days 00:00:00.042835,0 days 00:02:22.534300,93.0,94.0,80
206,6,2048,512,384,0.25,5,0 days 00:00:00.042835,0 days 00:01:34.306988,97.0,97.0,80
207,6,2048,1024,256,0.75,2,0 days 00:00:00.044714,0 days 00:02:22.550335,87.0,88.0,80
208,6,2048,1024,256,0.75,3,0 days 00:00:00.044714,0 days 00:01:59.369545,91.0,90.0,80
209,6,2048,1024,256,0.75,5,0 days 00:00:00.044714,0 days 00:02:22.578309,98.0,98.0,80
210,6,2048,1024,512,0.5,2,0 days 00:00:00.040584,0 days 00:01:56.215814,91.0,92.0,80
211,6,2048,1024,512,0.5,3,0 days 00:00:00.040584,0 days 00:02:22.537096,97.0,97.0,80
212,6,2048,1024,512,0.5,5,0 days 00:00:00.040584,0 days 00:01:31.030600,97.0,97.0,67
213,6,2048,1024,768,0.25,2,0 days 00:00:00.039260,0 days 00:01:34.069110,95.0,95.0,80
214,6,2048,1024,768,0.25,3,0 days 00:00:00.039260,0 days 00:01:58.474238,96.0,96.0,80
215,6,2048,1024,768,0.25,5,0 days 00:00:00.039260,0 days 00:02:00.822328,97.0,97.0,80
216,6,2048,2048,512,0.75,2,0 days 00:00:00.040419,0 days 00:01:47.448513,92.0,92.0,80
217,6,2048,2048,512,0.75,3,0 days 00:00:00.040419,0 days 00:02:18.553738,97.0,97.0,80
218,6,2048,2048,512,0.75,5,0 days 00:00:00.040419,0 days 00:01:52.166794,97.0,97.0,80
219,6,2048,2048,1024,0.5,2,0 days 00:00:00.037321,0 days 00:01:37.190610,93.0,93.0,80
220,6,2048,2048,1024,0.5,3,0 days 00:00:00.037321,0 days 00:01:57.726240,97.0,97.0,80
221,6,2048,2048,1024,0.5,5,0 days 00:00:00.037321,0 days 00:01:36.880337,97.0,97.0,79
222,6,2048,2048,1536,0.25,2,0 days 00:00:00.036919,0 days 00:02:22.566743,93.0,93.0,80
223,6,2048,2048,1536,0.25,3,0 days 00:00:00.036919,0 days 00:02:22.555868,97.0,97.0,80
224,6,2048,2048,1536,0.25,5,0 days 00:00:00.036919,0 days 00:01:23.001238,96.0,96.0,80
225,6,4096,256,64,0.75,2,0 days 00:00:00.103934,0 days 00:01:42.188376,90.0,90.0,80
226,6,4096,256,64,0.75,3,0 days 00:00:00.103934,0 days 00:02:13.129694,95.0,95.0,80
227,6,4096,256,64,0.75,5,0 days 00:00:00.103934,0 days 00:02:22.554057,97.0,97.0,80
228,6,4096,256,128,0.5,2,0 days 00:00:00.070397,0 days 00:01:38.986302,89.0,90.0,80
229,6,4096,256,128,0.5,3,0 days 00:00:00.070397,0 days 00:02:22.539754,97.0,97.0,80
230,6,4096,256,128,0.5,5,0 days 00:00:00.070397,0 days 00:02:09.413424,98.0,98.0,80
231,6,4096,256,192,0.25,2,0 days 00:00:00.060080,0 days 00:02:22.549586,91.0,91.0,80
232,6,4096,256,192,0.25,3,0 days 00:00:00.060080,0 days 00:02:22.533096,94.0,94.0,80
233,6,4096,256,192,0.25,5,0 days 00:00:00.060080,0 days 00:01:46.761562,92.0,93.0,74
234,6,4096,512,128,0.75,2,0 days 00:00:00.071120,0 days 00:01:57.541365,87.0,87.0,80
235,6,4096,512,128,0.75,3,0 days 00:00:00.071120,0 days 00:02:24.957560,96.0,96.0,80
236,6,4096,512,128,0.75,5,0 days 00:00:00.071120,0 days 00:02:22.570153,99.0,99.0,80
237,6,4096,512,256,0.5,2,0 days 00:00:00.053680,0 days 00:01:49.992868,87.0,87.0,80
238,6,4096,512,256,0.5,3,0 days 00:00:00.053680,0 days 00:02:22.528352,91.0,91.0,80
239,6,4096,512,256,0.5,5,0 days 00:00:00.053680,0 days 00:01:54.697309,98.0,98.0,80
240,6,4096,512,384,0.25,2,0 days 00:00:00.048348,0 days 00:01:43.885594,91.0,92.0,80
241,6,4096,512,384,0.25,3,0 days 00:00:00.048348,0 days 00:01:55.475669,96.0,96.0,80
242,6,4096,512,384,0.25,5,0 days 00:00:00.048348,0 days 00:02:27.838139,97.0,97.0,80
243,6,4096,1024,256,0.75,2,0 days 00:00:00.053779,0 days 00:01:54.152477,89.0,90.0,80
244,6,4096,1024,256,0.75,3,0 days 00:00:00.053779,0 days 00:01:53.742987,95.0,95.0,80
245,6,4096,1024,256,0.75,5,0 days 00:00:00.053779,0 days 00:01:57.517921,97.0,97.0,80
246,6,4096,1024,512,0.5,2,0 days 00:00:00.044375,0 days 00:02:22.567139,92.0,92.0,80
247,6,4096,1024,512,0.5,3,0 days 00:00:00.044375,0 days 00:02:25.546917,97.0,97.0,80
248,6,4096,1024,512,0.5,5,0 days 00:00:00.044375,0 days 00:02:14.431320,97.0,97.0,80
249,6,4096,1024,768,0.25,2,0 days 00:00:00.042222,0 days 00:01:59.941517,92.0,92.0,80
250,6,4096,1024,768,0.25,3,0 days 00:00:00.042222,0 days 00:02:22.574256,96.0,96.0,80
251,6,4096,1024,768,0.25,5,0 days 00:00:00.042222,0 days 00:01:42.333008,96.0,96.0,80
252,6,4096,2048,512,0.75,2,0 days 00:00:00.046208,0 days 00:01:54.292044,93.0,93.0,80
253,6,4096,2048,512,0.75,3,0 days 00:00:00.046208,0 days 00:02:30.447259,97.0,97.0,80
254,6,4096,2048,512,0.75,5,0 days 00:00:00.046208,0 days 00:02:08.885104,98.0,98.0,77
255,6,4096,2048,1024,0.5,2,0 days 00:00:00.041866,0 days 00:01:59.915084,94.0,94.0,80
256,6,4096,2048,1024,0.5,3,0 days 00:00:00.041866,0 days 00:02:45.100745,97.0,97.0,80
