,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
116,3,4096,1024,768,0.25,5,0 days 00:00:00.065044,0 days 00:00:57.499772,97.0,97.0,80
117,3,4096,2048,512,0.75,2,0 days 00:00:00.067066,0 days 00:00:25.330568,89.0,89.0,34
118,3,4096,2048,512,0.75,3,0 days 00:00:00.067066,0 days 00:01:13.140692,93.0,93.0,80
119,3,4096,2048,512,0.75,5,0 days 00:00:00.067066,0 days 00:01:19.080210,99.0,99.0,80
120,3,4096,2048,1024,0.5,2,0 days 00:00:00.063131,0 days 00:01:09.847406,90.0,89.0,80
121,3,4096,2048,1024,0.5,3,0 days 00:00:00.063131,0 days 00:01:40.818946,97.0,97.0,80
122,3,4096,2048,1024,0.5,5,0 days 00:00:00.063131,0 days 00:01:13.312390,97.0,97.0,80
123,3,4096,2048,1536,0.25,2,0 days 00:00:00.061771,0 days 00:00:57.058496,90.0,90.0,80
124,3,4096,2048,1536,0.25,3,0 days 00:00:00.061771,0 days 00:01:12.604268,97.0,97.0,80
125,3,4096,2048,1536,0.25,5,0 days 00:00:00.061771,0 days 00:00:57.157968,98.0,98.0,66
126,3,4096,4096,1024,0.75,2,0 days 00:00:00.062972,0 days 00:00:45.819326,89.0,89.0,40
127,3,4096,4096,1024,0.75,3,0 days 00:00:00.062972,0 days 00:01:28.991839,97.0,97.0,80
128,3,4096,4096,1024,0.75,5,0 days 00:00:00.062972,0 days 00:01:19.308011,97.0,97.0,74
129,3,4096,4096,2048,0.5,2,0 days 00:00:00.061278,0 days 00:01:13.453346,90.0,90.0,80
130,3,4096,4096,2048,0.5,3,0 days 00:00:00.061278,0 days 00:01:49.703839,97.0,97.0,80
131,3,4096,4096,2048,0.5,5,0 days 00:00:00.061278,0 days 00:01:22.715804,97.0,97.0,80
132,3,4096,4096,3072,0.25,2,0 days 00:00:00.058995,0 days 00:01:15.935717,93.0,93.0,80
133,3,4096,4096,3072,0.25,3,0 days 00:00:00.058995,0 days 00:01:33.090112,97.0,97.0,80
134,3,4096,4096,3072,0.25,5,0 days 00:00:00.058995,0 days 00:01:13.143180,99.0,99.0,80
135,6,256,256,64,0.75,2,0 days 00:00:00.063310,0 days 00:01:19.507000,91.0,91.0,80
136,6,256,256,64,0.75,3,0 days 00:00:00.063310,0 days 00:01:18.580940,91.0,91.0,80
137,6,256,256,64,0.75,5,0 days 00:00:00.063310,0 days 00:01:02.374858,90.0,90.0,78
138,6,256,256,128,0.5,2,0 days 00:00:00.060495,0 days 00:01:21.644290,89.0,89.0,61
139,6,256,256,128,0.5,3,0 days 00:00:00.060495,0 days 00:01:42.622971,91.0,91.0,80
140,6,256,256,128,0.5,5,0 days 00:00:00.060495,0 days 00:01:23.547651,91.0,91.0,80
141,6,256,256,192,0.25,2,0 days 00:00:00.058437,0 days 00:01:23.924443,88.0,87.0,80
142,6,256,256,192,0.25,3,0 days 00:00:00.058437,0 days 00:01:42.944918,89.0,88.0,80
143,6,256,256,192,0.25,5,0 days 00:00:00.058437,0 days 00:01:18.907191,91.0,91.0,75
144,6,512,256,64,0.75,2,0 days 00:00:00.067849,0 days 00:00:55.354322,88.0,87.0,62
145,6,512,256,64,0.75,3,0 days 00:00:00.067849,0 days 00:00:54.956119,88.0,89.0,40
146,6,512,256,64,0.75,5,0 days 00:00:00.067849,0 days 00:00:46.303683,90.0,90.0,64
147,6,512,256,128,0.5,2,0 days 00:00:00.063612,0 days 00:00:44.519191,89.0,89.0,53
148,6,512,256,128,0.5,3,0 days 00:00:00.063612,0 days 00:01:11.329229,92.0,91.0,80
149,6,512,256,128,0.5,5,0 days 00:00:00.063612,0 days 00:00:35.357997,89.0,89.0,40
150,6,512,256,192,0.25,2,0 days 00:00:00.061234,0 days 00:01:32.762330,89.0,89.0,80
151,6,512,256,192,0.25,3,0 days 00:00:00.061234,0 days 00:01:07.897834,89.0,89.0,58
152,6,512,256,192,0.25,5,0 days 00:00:00.061234,0 days 00:01:00.087572,91.0,91.0,61
153,6,512,512,128,0.75,2,0 days 00:00:00.059005,0 days 00:01:14.543997,89.0,89.0,67
154,6,512,512,128,0.75,3,0 days 00:00:00.059005,0 days 00:00:48.712314,92.0,92.0,80
155,6,512,512,128,0.75,5,0 days 00:00:00.059005,0 days 00:00:54.377266,92.0,92.0,63
156,6,512,512,256,0.5,2,0 days 00:00:00.061000,0 days 00:01:20.913247,90.0,90.0,80
157,6,512,512,256,0.5,3,0 days 00:00:00.061000,0 days 00:01:15.201283,90.0,90.0,58
158,6,512,512,256,0.5,5,0 days 00:00:00.061000,0 days 00:00:32.453465,89.0,89.0,29
159,6,512,512,384,0.25,2,0 days 00:00:00.059621,0 days 00:01:01.304743,89.0,89.0,59
160,6,512,512,384,0.25,3,0 days 00:00:00.059621,0 days 00:01:11.228919,90.0,89.0,53
161,6,512,512,384,0.25,5,0 days 00:00:00.059621,0 days 00:01:05.765011,92.0,91.0,57
162,6,1024,256,64,0.75,2,0 days 00:00:00.074168,0 days 00:00:40.193989,89.0,89.0,40
163,6,1024,256,64,0.75,3,0 days 00:00:00.074168,0 days 00:01:10.702583,89.0,88.0,69
164,6,1024,256,64,0.75,5,0 days 00:00:00.074168,0 days 00:00:29.372664,88.0,89.0,26
165,6,1024,256,128,0.5,2,0 days 00:00:00.066322,0 days 00:01:26.036621,89.0,88.0,58
166,6,1024,256,128,0.5,3,0 days 00:00:00.066322,0 days 00:00:37.770539,90.0,89.0,41
167,6,1024,256,128,0.5,5,0 days 00:00:00.066322,0 days 00:00:48.532262,92.0,92.0,55
168,6,1024,256,192,0.25,2,0 days 00:00:00.064164,0 days 00:01:34.481771,91.0,91.0,80
169,6,1024,256,192,0.25,3,0 days 00:00:00.064164,0 days 00:00:53.146020,90.0,89.0,59
170,6,1024,256,192,0.25,5,0 days 00:00:00.064164,0 days 00:00:39.035170,89.0,89.0,42
171,6,1024,512,128,0.75,2,0 days 00:00:00.065468,0 days 00:00:47.474329,88.0,87.0,36
172,6,1024,512,128,0.75,3,0 days 00:00:00.065468,0 days 00:01:00.698003,90.0,90.0,55
173,6,1024,512,128,0.75,5,0 days 00:00:00.065468,0 days 00:00:31.994101,89.0,89.0,29
174,6,1024,512,256,0.5,2,0 days 00:00:00.063788,0 days 00:00:50.866038,88.0,88.0,36
175,6,1024,512,256,0.5,3,0 days 00:00:00.063788,0 days 00:01:14.709257,93.0,93.0,70
176,6,1024,512,256,0.5,5,0 days 00:00:00.063788,0 days 00:01:00.613355,93.0,93.0,55
177,6,1024,512,384,0.25,2,0 days 00:00:00.062829,0 days 00:01:00.552432,90.0,89.0,46
178,6,1024,512,384,0.25,3,0 days 00:00:00.062829,0 days 00:01:35.281766,92.0,91.0,80
179,6,1024,512,384,0.25,5,0 days 00:00:00.062829,0 days 00:00:48.670589,92.0,91.0,39
180,6,1024,1024,256,0.75,2,0 days 00:00:00.061129,0 days 00:02:12.196868,91.0,91.0,80
181,6,1024,1024,256,0.75,3,0 days 00:00:00.061129,0 days 00:00:35.253062,90.0,90.0,53
182,6,1024,1024,256,0.75,5,0 days 00:00:00.061129,0 days 00:00:49.558957,91.0,91.0,55
183,6,1024,1024,512,0.5,2,0 days 00:00:00.060881,0 days 00:01:04.255285,90.0,89.0,56
184,6,1024,1024,512,0.5,3,0 days 00:00:00.060881,0 days 00:01:29.507679,92.0,91.0,58
185,6,1024,1024,512,0.5,5,0 days 00:00:00.060881,0 days 00:00:44.472793,92.0,92.0,38
186,6,1024,1024,768,0.25,2,0 days 00:00:00.059926,0 days 00:01:08.097480,92.0,92.0,80
187,6,1024,1024,768,0.25,3,0 days 00:00:00.059926,0 days 00:02:01.250770,93.0,93.0,80
188,6,1024,1024,768,0.25,5,0 days 00:00:00.059926,0 days 00:01:37.279341,95.0,95.0,80
189,6,2048,256,64,0.75,2,0 days 00:00:00.091934,0 days 00:00:29.831203,89.0,89.0,36
190,6,2048,256,64,0.75,3,0 days 00:00:00.091934,0 days 00:01:34.765957,90.0,89.0,79
191,6,2048,256,64,0.75,5,0 days 00:00:00.091934,0 days 00:00:33.191498,90.0,90.0,30
192,6,2048,256,128,0.5,2,0 days 00:00:00.077578,0 days 00:01:43.222228,90.0,89.0,80
193,6,2048,256,128,0.5,3,0 days 00:00:00.077578,0 days 00:01:20.471326,90.0,89.0,67
194,6,2048,256,128,0.5,5,0 days 00:00:00.077578,0 days 00:00:43.181430,89.0,89.0,36
195,6,2048,256,192,0.25,2,0 days 00:00:00.073954,0 days 00:01:09.084270,89.0,89.0,80
196,6,2048,256,192,0.25,3,0 days 00:00:00.073954,0 days 00:01:10.469072,90.0,90.0,65
197,6,2048,256,192,0.25,5,0 days 00:00:00.073954,0 days 00:00:38.397543,89.0,89.0,30
198,6,2048,512,128,0.75,2,0 days 00:00:00.076351,0 days 00:01:32.319675,91.0,91.0,80
199,6,2048,512,128,0.75,3,0 days 00:00:00.076351,0 days 00:01:13.516684,92.0,92.0,67
200,6,2048,512,128,0.75,5,0 days 00:00:00.076351,0 days 00:00:52.410609,91.0,91.0,64
201,6,2048,512,256,0.5,2,0 days 00:00:00.067176,0 days 00:00:39.872697,90.0,90.0,36
