,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
172,6,1024,512,128,0.75,3,0 days 00:00:00.078736,0 days 00:00:59.565734,80.0,80.0,73
173,6,1024,512,128,0.75,5,0 days 00:00:00.078736,0 days 00:01:22.539054,83.0,83.0,80
174,6,1024,512,256,0.5,2,0 days 00:00:00.072602,0 days 00:01:17.282929,80.0,83.0,80
175,6,1024,512,256,0.5,3,0 days 00:00:00.072602,0 days 00:01:22.552743,84.0,83.0,80
176,6,1024,512,256,0.5,5,0 days 00:00:00.072602,0 days 00:01:07.004159,86.0,86.0,80
177,6,1024,512,384,0.25,2,0 days 00:00:00.067957,0 days 00:01:08.495180,83.0,84.0,80
178,6,1024,512,384,0.25,3,0 days 00:00:00.067957,0 days 00:01:00.101526,80.0,80.0,66
179,6,1024,512,384,0.25,5,0 days 00:00:00.067957,0 days 00:01:08.948784,88.0,88.0,80
180,6,1024,1024,256,0.75,2,0 days 00:00:00.070073,0 days 00:00:50.703218,80.0,83.0,43
181,6,1024,1024,256,0.75,3,0 days 00:00:00.070073,0 days 00:01:07.892305,81.0,82.0,72
182,6,1024,1024,256,0.75,5,0 days 00:00:00.070073,0 days 00:01:07.542691,83.0,83.0,74
183,6,1024,1024,512,0.5,2,0 days 00:00:00.065615,0 days 00:01:14.657874,81.0,83.0,80
184,6,1024,1024,512,0.5,3,0 days 00:00:00.065615,0 days 00:00:53.854456,85.0,84.0,55
185,6,1024,1024,512,0.5,5,0 days 00:00:00.065615,0 days 00:01:09.672024,86.0,87.0,80
186,6,1024,1024,768,0.25,2,0 days 00:00:00.065320,0 days 00:01:22.532822,80.0,83.0,80
187,6,1024,1024,768,0.25,3,0 days 00:00:00.065320,0 days 00:01:22.537842,87.0,87.0,80
188,6,1024,1024,768,0.25,5,0 days 00:00:00.065320,0 days 00:00:53.609754,84.0,84.0,48
189,6,2048,256,64,0.75,2,0 days 00:00:00.117438,0 days 00:01:41.852090,81.0,82.0,80
190,6,2048,256,64,0.75,3,0 days 00:00:00.117438,0 days 00:01:01.192842,82.0,80.0,57
191,6,2048,256,64,0.75,5,0 days 00:00:00.117438,0 days 00:01:40.776147,85.0,85.0,80
192,6,2048,256,128,0.5,2,0 days 00:00:00.091064,0 days 00:00:44.406715,79.0,82.0,47
193,6,2048,256,128,0.5,3,0 days 00:00:00.091064,0 days 00:01:20.763686,83.0,84.0,80
194,6,2048,256,128,0.5,5,0 days 00:00:00.091064,0 days 00:01:25.580821,86.0,86.0,80
195,6,2048,256,192,0.25,2,0 days 00:00:00.083548,0 days 00:01:16.252474,82.0,83.0,80
196,6,2048,256,192,0.25,3,0 days 00:00:00.083548,0 days 00:01:15.595427,85.0,85.0,80
197,6,2048,256,192,0.25,5,0 days 00:00:00.083548,0 days 00:01:11.752266,86.0,86.0,71
198,6,2048,512,128,0.75,2,0 days 00:00:00.091886,0 days 00:00:49.716603,82.0,81.0,65
