,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
143,6,256,256,192,0.25,5,0 days 00:00:00.066580,0 days 00:00:39.593872,78.8,79.0,49
144,6,512,256,64,0.75,2,0 days 00:00:00.079018,0 days 00:00:44.884729,65.8,74.8,49
145,6,512,256,64,0.75,3,0 days 00:00:00.079018,0 days 00:00:49.516293,77.8,77.8,48
146,6,512,256,64,0.75,5,0 days 00:00:00.079018,0 days 00:00:59.480566,80.0,82.2,51
147,6,512,256,128,0.5,2,0 days 00:00:00.070840,0 days 00:00:32.727162,68.6,73.2,40
148,6,512,256,128,0.5,3,0 days 00:00:00.070840,0 days 00:00:38.953976,77.6,79.8,46
149,6,512,256,128,0.5,5,0 days 00:00:00.070840,0 days 00:01:03.109922,81.0,82.4,68
150,6,512,256,192,0.25,2,0 days 00:00:00.068495,0 days 00:00:29.942329,73.2,73.8,42
151,6,512,256,192,0.25,3,0 days 00:00:00.068495,0 days 00:00:56.356555,79.6,80.8,62
152,6,512,256,192,0.25,5,0 days 00:00:00.068495,0 days 00:00:35.655474,79.4,80.2,45
153,6,512,512,128,0.75,2,0 days 00:00:00.070727,0 days 00:00:46.591026,74.4,74.8,59
154,6,512,512,128,0.75,3,0 days 00:00:00.070727,0 days 00:00:53.746104,80.0,80.8,63
155,6,512,512,128,0.75,5,0 days 00:00:00.070727,0 days 00:01:02.012636,81.0,82.0,70
156,6,512,512,256,0.5,2,0 days 00:00:00.066638,0 days 00:00:33.938769,71.0,74.6,48
157,6,512,512,256,0.5,3,0 days 00:00:00.066638,0 days 00:00:52.465917,79.0,80.6,69
158,6,512,512,256,0.5,5,0 days 00:00:00.066638,0 days 00:00:54.860999,77.8,78.6,62
159,6,512,512,384,0.25,2,0 days 00:00:00.066866,0 days 00:00:52.737410,76.2,79.6,69
160,6,512,512,384,0.25,3,0 days 00:00:00.066866,0 days 00:00:44.936288,78.4,79.6,56
161,6,512,512,384,0.25,5,0 days 00:00:00.066866,0 days 00:00:57.752803,84.0,85.0,73
162,6,1024,256,64,0.75,2,0 days 00:00:00.091510,0 days 00:00:43.050431,71.8,76.6,47
163,6,1024,256,64,0.75,3,0 days 00:00:00.091510,0 days 00:00:46.189605,75.2,78.4,40
164,6,1024,256,64,0.75,5,0 days 00:00:00.091510,0 days 00:01:00.906372,79.2,79.8,54
165,6,1024,256,128,0.5,2,0 days 00:00:00.077642,0 days 00:00:47.949218,77.6,80.8,57
166,6,1024,256,128,0.5,3,0 days 00:00:00.077642,0 days 00:00:51.450747,79.2,78.8,57
167,6,1024,256,128,0.5,5,0 days 00:00:00.077642,0 days 00:00:48.665414,78.4,80.2,53
168,6,1024,256,192,0.25,2,0 days 00:00:00.073794,0 days 00:00:34.433144,61.0,72.8,46
169,6,1024,256,192,0.25,3,0 days 00:00:00.073794,0 days 00:00:58.339654,78.4,80.2,64
170,6,1024,256,192,0.25,5,0 days 00:00:00.073794,0 days 00:00:54.935953,81.0,83.0,62
171,6,1024,512,128,0.75,2,0 days 00:00:00.078736,0 days 00:00:44.626473,74.2,76.8,62
172,6,1024,512,128,0.75,3,0 days 00:00:00.078736,0 days 00:00:46.555641,77.0,77.2,51
173,6,1024,512,128,0.75,5,0 days 00:00:00.078736,0 days 00:00:49.440231,72.0,77.2,51
174,6,1024,512,256,0.5,2,0 days 00:00:00.072602,0 days 00:00:46.543651,76.0,80.0,63
175,6,1024,512,256,0.5,3,0 days 00:00:00.072602,0 days 00:00:58.741725,80.0,80.6,63
176,6,1024,512,256,0.5,5,0 days 00:00:00.072602,0 days 00:01:03.324088,83.2,83.6,67
177,6,1024,512,384,0.25,2,0 days 00:00:00.067957,0 days 00:00:53.039069,76.4,79.8,59
178,6,1024,512,384,0.25,3,0 days 00:00:00.067957,0 days 00:00:47.839356,72.6,74.2,56
179,6,1024,512,384,0.25,5,0 days 00:00:00.067957,0 days 00:00:51.344106,80.4,82.6,61
